SYMBOL,degree_centrality_score
ARF5,0.08587815842505038
CALM2,0.09714256187671162
ARHGEF9,0.0359117449491035
ERN1,0.08065932930295044
CDKN2A,0.2035343357618974
P4HB,0.11832790781790936
STX10,0.03100294527980158
GNB4,0.07378700976592777
KIF5C,0.10179300366868185
GART,0.14628223014519712
SACM1L,0.05844055185242598
SGSM3,0.02712757711982638
GORAB,0.01229783496098796
NPHP3,0.04479925592931328
DAPK1,0.06303932206892988
STK17A,0.03410323980778174
SPTBN2,0.05968066966361804
KIF13B,0.043094093938924195
RAPGEF4,0.05549527205084483
no-symbol,0.050586472381542916
STK33,0.03270810727019067
no-symbol,0.04857128093835581
TGFB1I1,0.0489846535420865
no-symbol,0.15832170722885341
RAPGEF5,0.02805766547822043
AP1B1,0.048777967240221154
HPS5,0.011522761328992921
ARHGEF16,0.04102723092027076
PATL2,0.02588745930863432
CADPS2,0.04133726037306877
MAP3K2,0.07363199503952876
TUBAL3,0.06577791556864569
GNAL,0.07683563271844158
CDC42,0.19304500594223117
ROS1,0.058233865550560635
MPHOSPH8,0.14276856301348628
GGA3,0.03937374050534801
MUSK,0.0685165090683615
SIPA1L2,0.023820596289980882
TBC1D17,0.028677724383816463
AP2B1,0.06030072856921408
KIF21A,0.052498320673797345
HIPK2,0.06717304810623675
ANKS6,0.060042370691882396
STK38,0.10117294476308583
SEC22A,0.035033328166175784
ASB9,0.0633493515217279
FEM1C,0.055443600475378496
TOM1L2,0.028987753836614477
SSH1,0.04288740763705885
ACSL1,0.055546943626311164
PPP4C,0.13667131710845865
TUBB2B,0.08520642794398801
TMED7,0.03508499974164212
UNC50,0.015346457913501782
RAB9B,0.04479925592931328
NCALD,0.0647961556347853
SMYD2,0.0903735854906216
ARVCF,0.03648013227923319
LPGAT1,0.023252208959851185
VPS51,0.030434557949671884
PSD3,0.033018136722988686
MAPK12,0.11264403451661241
ARHGEF3,0.039890456260011364
RAB10,0.048519609362889474
PTK7,0.10499664134759469
PPP2R2A,0.0633493515217279
IFT27,0.020048571280938357
MAP3K7,0.08288120704800289
VPS33A,0.028471038081951117
PLEKHG3,0.009765927763137498
PPP2R2B,0.08055598615201777
PDLIM4,0.03937374050534801
no-symbol,0.07099674469074561
ZAP70,0.10050121428202345
no-symbol,0.03813362269415595
FER,0.05177491861726864
PGGT1B,0.01689660517749186
NGLY1,0.02165039012039477
ARFGAP1,0.04831292306102413
RGL1,0.01756833565855423
DOCK3,0.04614271689143802
RAB23,0.0294527980158115
FGD4,0.030692915827003564
DOCK8,0.040148814137343045
HHEX,0.05420348266418643
ANK2,0.12334005063814396
TPM4,0.06329767994626156
PPP1CA,0.16111197230403554
SRC,0.23706918823954942
ARHGEF5,0.035188342892574796
PRKCD,0.08024595669921976
DUSP10,0.047124476825298404
KDM5B,0.11403916705420349
PPEF1,0.09254379166020772
PSEN1,0.10928538211130057
CTNND2,0.07435539709605746
STX11,0.04758952100449543
FEM1A,0.05218829122099933
KLC1,0.056838733012969565
RHOC,0.11641605952565494
IKBKE,0.06619128817237638
MYH13,0.05394512478685475
BOLA2-SMG1P6,0.08288120704800289
DUSP19,0.0320363767891283
CDKN2B,0.09993282695189376
COPZ2,0.0294527980158115
TBC1D9B,0.03213971994006097
MYO1B,0.06753474913450111
SLF1,0.09104531597168397
ANKRD54,0.050121428202345886
AGAP5,0.02015191443187103
GUCY1A1,0.0668113470779724
KIF15,0.06433111145558829
ASB6,0.06128248850307446
KIF13A,0.045522657985841986
LSM14B,0.027902650751821422
DCTN5,0.023303880535317522
KIF2B,0.04908799669301917
HPCAL1,0.05838888027695965
RERG,0.07420038236965845
DHDDS,0.041182245646669766
KIF16B,0.0635043662481269
RAB43,0.033121479873921354
PDPK1,0.05234330594739833
KIF25,0.04350746654265489
IKZF4,0.01844675244148194
EEA1,0.07332196558673074
KDELR2,0.03549837234537281
ASB2,0.0752854854544515
PPP1R16A,0.04485092750477962
AGAP4,0.020048571280938357
ARHGAP1,0.039787113109078696
ATP10B,0.03327649460032037
RSKR,0.12494186947760037
UNC119,0.0366351470056322
ANKRD30A,0.04867462408928848
MYH1,0.08040097142561876
NIM1K,0.062212576861468506
GORASP1,0.030796258977936235
RAB1B,0.05203327649460032
CABP7,0.05130987443807162
DCLK3,0.03508499974164212
FBXO42,0.03012452849687387
NCS1,0.07838577998243167
SCD5,0.058750581305223995
TSC1,0.0509998449852736
POTEE,0.08034929985015243
STX1A,0.06588125871957835
