SYMBOL,overall_score,affected_pathway_score,animal_model_score,genetic_association_score,literature_score,rna_expression_score,somatic_mutation_score,druggability_score_smallmolecule,druggability_score_other_modalities,druggability_score_antibody
CDX2,0.2936575985910468,0.014933820968303726,0.030983104715415637,0.0093246102543617,0.04059275573325001,0.0014863899598993634,0.2469958202716823,0.0,0.0,0.0
PGAM2,0.20120616219295456,0.0,0.0,0.1876978668673285,0.010875729242143856,0.005348959546614603,0.0,0.0,0.0,0.0
FIP1L1,0.2856265032839577,0.011627906976744186,0.0,0.03494833217271173,0.014641413621690254,0.0001997374963988516,0.24738504170348605,0.0,0.0,0.0
WWTR1,0.3944960995745064,0.02158323555880096,0.10434706350112627,0.013641133026251777,0.009508651975682859,0.0012303664475757485,0.2740151035065484,0.7000000000000001,0.0,0.7000000000000001
COL28A1,0.4084324845833196,0.06998641147899952,0.0,0.024276829491823148,0.0015522792022792027,0.00383968642080445,0.0,0.0,1.0,0.4666666666666667
TRADD,0.13172183872378398,0.03144160651033065,0.08224658682471905,0.010558208785841246,0.01653040033308534,0.00018006978875074247,0.0,0.4,0.0,0.6500000000000001
ITGB7,0.1943249767244012,0.02627822443909675,0.048277636997781835,0.018459633370672447,0.015175990694126413,0.0009695963756053477,0.0,0.65,0.0,0.525
HERPUD1,0.22112170975376372,0.0,0.011520431201518824,0.030811485707116983,0.002453993259067296,0.0004314936294615932,0.18086121946574046,0.0,0.0,0.35
ERMARD,0.2064172632975532,0.0,0.0,0.20018552202317447,0.01095408496732026,0.0009493883332021586,0.0,0.0,0.0,0.35
MED25,0.14326911641843734,0.011048992560742793,0.05674930379746835,0.0712852214773496,0.010267443540693932,0.000568705022202251,0.0,0.0,0.0,0.0
ARHGAP32,0.18026882155934654,0.0,0.06957059637398169,0.06431484946007593,0.00869753497942387,0.005946859817107852,0.037037037037037035,0.0,0.0,0.7000000000000003
ZFHX4,0.5130623127577123,0.0,0.0,0.5050451656591194,0.008754169332769157,0.003731179665642678,0.0,0.0,0.0,0.0
KCNE4,0.13096978563583933,0.009781466132125818,0.0,0.11457161292088745,0.00399031117376482,0.0033574507585625696,0.0,0.0,0.0,0.35
ALDH1L1,0.17649724214979845,0.0,0.07965453416549137,0.08409979583122269,0.009420828381214259,0.003896851210840246,0.0,0.45,0.0,0.0
IGF2BP3,0.16641496548760518,0.0,0.0,0.1311854999350465,0.02752132240887755,0.010385519611034372,0.0,0.0,0.0,0.0
ZRANB2,0.2421129657313421,0.0,0.0,0.2267445458465407,0.012654226406089502,0.0028226299705789845,0.0,0.0,0.0,0.0
AAR2,0.4897172205151928,0.0,0.0,0.4897172205151928,0.0,0.0,0.0,0.0,0.0,0.0
FBXL3,0.3615123240625291,0.24325233780658986,0.009021153846153849,0.10092730534954504,0.01244813247863248,0.0005379554790439299,0.0,0.0,0.0,0.0
MGAT3,0.17199717917620486,0.0,0.0,0.1524644638801098,0.014563656211819459,0.004969059084275589,0.0,0.6499999999999998,0.0,0.3500000000000001
FAM117B,0.2010373890071933,0.0,0.07663617647058825,0.12123921103288535,0.0,0.0031620015037198174,0.0,0.0,0.0,0.0
